site,Y,X
CF01,-8.44913,-61.75294
CF02,-8.47255,-61.7304
CF03,-8.38393,-61.71748
CF04,-8.63006,-61.4315
CF05,-8.44653,-61.64961
CF06,-8.49581,-61.61874
CF07,-8.62591,-61.32732
CF08,-8.45226,-61.53138
CF09,-8.52347,-61.62139
CF10,-8.50903,-61.54323
CF11,-8.48095,-61.50171
CF12,-8.45956,-61.4549
CF13,-8.48058,-61.44134
CF14,-8.56993,-61.46595
CF15,-8.57613,-61.43169
CF16,-8.50769,-61.41273
CF17,-8.54113,-61.39472
CF18,-8.49146,-61.33865
CF19,-8.60881,-61.34359
CF20,-8.63305,-61.25235
CL21,-8.3642,-61.70979
CL22,-8.42251,-61.71949
CL23,-8.4887,-61.71103
CL24,-8.50855,-61.46425
CL25,-8.47856,-61.58
CL26,-8.45876,-61.6529
CL27,-8.44718,-61.67684
CL28,-8.4632,-61.57735
CL29,-8.51596,-61.58001
CL30,-8.47915,-61.54338
CL31,-8.51991,-61.49546
CL32,-8.56125,-61.50911
CL33,-8.53646,-61.43689
CL34,-8.48586,-61.39973
CL35,-8.45331,-61.34542
CL36,-8.52402,-61.36295
CL37,-8.60609,-61.40351
CL38,-8.63114,-61.30773
CL39,-8.64848,-61.26854
CL40,-8.62302,-61.22692
ESTRADA1,-8.098904,-61.09339
ESTRADA2,-8.09762,-61.07493
ESTRADA3,-8.100257,-61.107295
ESTRADA4,-8.080359,-61.111342
ESTRADA5,-8.123161,-61.100818
F41,-7.93842,-61.00395
F41B,-8.529829,-60.910273
F42,-8.15051,-61.0533
F42B,-8.527658,-60.890788
F43,-8.02501,-60.93978
F43B,-8.551676,-60.931571
F44,-8.00235,-60.94119
F44B,-8.59572,-60.88844
F45,-8.02493,-60.91425
F45B,-8.454761,-60.932084
F46,-8.04656,-60.93771
F46B,-8.454326,-60.913203
F47,-8.36043,-61.02923
F47B,-8.408115,-60.915732
F48,-8.35878,-61.04732
F48B,-8.59245,-60.95006
F49,-8.20668,-61.05502
F49B,-8.469712,-60.984001
F50,-8.21114,-60.9732
F50B,-8.385701,-60.988984
F51,-8.22496,-60.99269
F51B,-8.389841,-60.96719
F52,-8.24758,-60.93115
F52B,-8.388939,-60.947677
F53,-8.24619,-60.90795
F53B,-8.323348,-60.9832
F54,-8.35853,-61.00178
F54B,-8.219677,-61.039343
F55,-8.28565,-60.9723
F56,-8.0277,-60.8984
F56B,-8.416379,-60.940193
F57,-8.00733,-60.96197
F57B,-8.408115,-60.915732
F58,-7.97838,-60.94084
F58B,-8.55123,-60.90675
F59,-7.99897,-60.98857
F59B,-8.269526,-60.970058
F60,-7.98671,-61.01448
MANEJO1,-8.064946,-61.101581
MANEJO2,-8.073505,-61.107425
MANEJO3,-8.070134,-61.08617
CF106,-7.7369,-63.75816
CF107,-7.70503,-63.75804
CF108,-7.75388,-63.81664
CF110,-7.79089,-63.85386
CF111,-7.83282,-63.84038
CF112,-7.86238,-63.82623
CF127,-8.65514,-64.35983
CF129,-8.63366,-64.43919
CF155,-8.94195,-64.57904
CFn1,-8.64249,-64.32455
CFn2,-8.81257,-64.39182
CL100,-7.66007,-63.7836
CL101,-7.70142,-63.7957
CL102,-7.74798,-63.78645
CL103,-7.76989,-63.88955
CL104,-7.85367,-63.87864
CL105,-7.89225,-63.87116
CL116,-7.90263,-63.82908
CL121,-8.67024,-64.44675
CL130,-8.66017,-64.40613
CL154,-8.94373,-64.60661
CL157,-8.94266,-64.55331
CL159,-7.92983,-63.86419
CS153,-8.97191,-64.60383
CS156,-8.97435,-64.57595
CSn1,-8.65601,-64.34349
Deer1,-7.62282,-63.78567
Deer2,-7.71717,-63.7771
Deer3,-7.55519,-63.7555
Deer4,-7.57292,-63.76219
Ex1106D1,-8.68775,-64.582043
Ex1106D2,-8.71,-64.56242
Ex1106D3,-8.73483,-64.5405
Ex1106D4,-8.76268,-64.51633
Ex1206D1,-8.82479,-64.46272
Ex1206D2,-8.85535,-64.48216
Ex1306D1,-8.94599,-64.64827
Ex1506D1,-8.95018,-64.71771
Ex1506D2,-8.9468,-64.68278
Ex1606D1,-8.9433,-64.79715
Ex1606D2,-8.95286,-64.77473
Ex1606D3,-8.95817,-64.74554
Ex1806D1,-9.39224,-65.08031
Ex1806D2,-9.38347,-65.01331
Ex1806D3,-9.47208,-65.17565
Ex1806D4,-9.56834,-65.07572
Ex1806D5,-9.52661,-65.04253
F113,-7.97252,-64.08319
F114,-7.96201,-64.05699
F115,-8.03032,-64.0487
F128,-8.79485,-64.48077
F200,-7.7765,-63.839
FN1,-8.61826,-64.30833
Fn11,-8.97412,-64.63586
Fn2,-8.7874,-64.40244
Fn3,-8.79265,-64.37585
Fn4,-8.82525,-64.4155
Fn5,-8.84448,-64.4351
CTJD01,-9.00866,-64.2933
CTJD02,-8.95185,-64.10345
CTJD03,-8.97033,-64.17015
CTJD04,-8.94923,-64.20506
CTJD05,-8.93021,-64.35405
CTJD06,-8.98728,-64.38516
CTJD07,-8.98067,-64.21581
CTJD08,-8.94538,-64.26772
CTJD09,-9.05173,-64.54946
CTJD10,-9.08774,-64.44819
CTJD11,-9.09139,-64.40576
CTJD12,-9.04895,-64.44289
CTJD13,-9.00174,-64.43257
CTJD14,-9.06779,-64.35359
CTJD15,-9.01913,-64.36511
CTJD16,-9.03455,-64.32953
CTJD17,-8.97646,-64.34496
CTJD18,-8.96559,-64.26205
CTSM01,-9.01027,-61.67244
CTSM02,-9.03594,-61.64636
CTSM03,-9.06685,-61.68427
CTSM04,-9.07955,-61.80649
CTSM05,-9.13727,-61.81552
CTSM06,-9.1229,-61.76262
CTSM07,-9.06889,-61.7228
CTSM08,-9.14544,-61.63695
CTSM09,-8.97606,-61.60828
CTSM10,-8.98477,-61.57311
CTSM11,-9.12641,-61.71468
CTSM12,-9.19627,-61.7055
CTSM13,-9.18149,-61.67383
CTPB01,-9.1812,-63.48203
CTES01,-8.95992,-63.16414
CTES02,-8.95724,-63.17104
CTES03,-8.93197,-63.20271
CTES04,-8.90379,-63.24071
N20,-8.517394,-61.633704
N23,-8.558477,-61.637915
N24,-8.570001,-61.64084
N22,-8.546013,-61.636949
N21,-8.529667,-61.635336
N03,-8.488448,-61.666348
CL26,-8.458254,-61.653539
GM13,-8.434629,-61.647003
GM16,-8.422129,-61.650071
GM08,-8.416393,-61.661981
GM12,-8.427388,-61.662047
GM19,-8.433038,-61.675039
GM18,-8.444727,-61.636534
GM14,-8.435365,-61.629965
CF05,-8.446447,-61.649645
GM10,-8.404354,-61.620387
GM09,-8.406083,-61.636761
GM02,-8.402443,-61.651485
GM03,-8.392142,-61.64002
GM100,-8.380214,-61.632851
GM101,-8.391084,-61.65437
GM11,-8.41783,-61.624841
GM17,-8.421973,-61.638524
GM07,-8.415896,-61.611602
N09,-8.501451,-61.661002
N10,-8.513981,-61.662783
N11,-8.526478,-61.664277
N12,-8.539526,-61.665478
N13,-8.551641,-61.667768
GM20,-8.439122,-61.661192
GM06,-8.399656,-61.606273
GM04,-8.392308,-61.625538
GM05,-8.386141,-61.61397
GM102,-8.372205,-61.615716
GM107,-8.36963,-61.638528
GM103,-8.366297,-61.629026
GM105,-8.356492,-61.621392
GM104,-8.359752,-61.611105
GM106,-8.356277,-61.602135
N25,-8.522806,-61.620443
N26,-8.532513,-61.621227
N27,-8.545888,-61.62328
N28,-8.558465,-61.62432
N16,-8.517591,-61.64728
N17,-8.530233,-61.649912
N29,-8.522371,-61.604159
N30,-8.53443,-61.606767
N37,-8.482335,-61.650464
GM15,-8.46415,-61.665494
GM01,-8.475478,-61.660143
N43,-8.501586,-61.597948
N42,-8.49634,-61.60701
N41,-8.509542,-61.61093
N40,-8.506731,-61.623745
CF06,-8.49583,-61.618751
N39,-8.490727,-61.63381
N38,-8.478745,-61.632438
N32,-8.556388,-61.609402
N31,-8.545236,-61.608119
N33,-8.565476,-61.612688
N02,-8.484166,-61.678944
CL27,-8.447566,-61.677126
N01,-8.470286,-61.675353
GM21,-8.45347,-61.663242
N36,-8.471495,-61.642408
N08,-8.494381,-61.653058
N53,-8.492701,-61.691584
N50,-8.506476,-61.691594
N51,-8.521243,-61.692363
N52,-8.534322,-61.692739
N04,-8.497171,-61.674471
N05,-8.509618,-61.676404
N06,-8.522403,-61.678527
N15,-8.503889,-61.644869
